Date,Percent
2004 Jan,9.7
2004 Feb,9.8
2004 Mar,7.8
2004 Apr,10
2004 May,12.2
2004 Jun,13.9
2004 Jul,14.3
2004 Aug,13.6
2004 Sep,13.7
2004 Oct,12.6
2004 Nov,13.7
2004 Dec,10.7
2005 Jan,10
2005 Feb,10.5
2005 Mar,12.6
2005 Apr,6.9
2005 May,6
2005 Jun,5
2005 Jul,4
2005 Aug,2.8
2005 Sep,3.2
2005 Oct,1.6
2005 Nov,2.2
2005 Dec,2.9
2006 Jan,4.1
2006 Feb,3.4
2006 Mar,3.3
2006 Apr,5
2006 May,5.7
2006 Jun,5.3
2006 Jul,5.9
2006 Aug,7.4
2006 Sep,8
2006 Oct,8.5
2006 Nov,8.8
2006 Dec,9.9
2007 Jan,10.8
2007 Feb,11.8
2007 Mar,10.9
2007 Apr,11.1
2007 May,10.8
2007 Jun,12.1
2007 Jul,12.3
2007 Aug,11.3
2007 Sep,10.8
2007 Oct,11.3
2007 Nov,9.8
2007 Dec,8.4
2008 Jan,7.9
2008 Feb,6.3
2008 Mar,5.2
2008 Apr,4.6
2008 May,3
2008 Jun,0.6
2008 Jul,-1.4
2008 Aug,-4.6
2008 Sep,-5.1
2008 Oct,-7.4
2008 Nov,-8.5
2008 Dec,-10.2
2009 Jan,-11.5
2009 Feb,-12.3
2009 Mar,-13.6
2009 Apr,-13.5
2009 May,-12.7
2009 Jun,-10.7
2009 Jul,-8.4
2009 Aug,-5.6
2009 Sep,-4.1
2009 Oct,-2.3
2009 Nov,0.5
2009 Dec,2.9
2010 Jan,6.2
2010 Feb,7.3
2010 Mar,9.7
2010 Apr,9.8
2010 May,10.6
2010 Jun,9.9
2010 Jul,8.2
2010 Aug,8.1
2010 Sep,6.1
2010 Oct,4.9
2010 Nov,3.7
2010 Dec,3
2011 Jan,0.1
2011 Feb,-0.2
2011 Mar,0.3
2011 Apr,-0.7
2011 May,-2.5
2011 Jun,-2.3
2011 Jul,-1.6
2011 Aug,-1.5
2011 Sep,-1.6
2011 Oct,-0.5
2011 Nov,-0.5
2011 Dec,-0.4
2012 Jan,0.6
2012 Feb,1
2012 Mar,-0.4
2012 Apr,1.4
2012 May,2.3
2012 Jun,2.3
2012 Jul,2
2012 Aug,1.9
2012 Sep,1.7
2012 Oct,1.4
2012 Nov,2.2
2012 Dec,3.3
2013 Jan,2.1
2013 Feb,1.9
2013 Mar,2.7
2013 Apr,2.6
2013 May,2.9
2013 Jun,3.1
2013 Jul,3.3
2013 Aug,3.7
2013 Sep,3.8
2013 Oct,5.5
2013 Nov,5.4
2013 Dec,5.5
2014 Jan,6.8
2014 Feb,9.2
2014 Mar,8
2014 Apr,9.9
2014 May,10.4
2014 Jun,10.2
2014 Jul,11.5
2014 Aug,11.7
2014 Sep,12.1
2014 Oct,10.4
2014 Nov,9.9
2014 Dec,9.8
2015 Jan,8.4
2015 Feb,7.4
2015 Mar,9.6
2015 Apr,5.6
2015 May,5.6
2015 Jun,5.7
2015 Jul,5.2
2015 Aug,5.5
2015 Sep,6.1
2015 Oct,6.8
2015 Nov,7.7
2015 Dec,6.7
2016 Jan,8.1
2016 Feb,7.6
2016 Mar,9