Year,Price,Region
Q3 2002,197470,London
Q3 2002,130208,South West
Q3 2002,80392,Wales
Q3 2002,77916,Scotland
Q3 2002,83152,Northern Ireland
Q3 2002,110830,UK
Q3 2003,93334,North
Q3 2003,106016,Yorks & Humber
Q3 2003,109027,North West
Q3 2003,118028,East Midlands
Q3 2003,126888,West Midlands
Q3 2003,137454,East Anglia
Q3 2003,163011,Outer South East
Q3 2003,198785,Outer Met
Q3 2003,213419,London
Q3 2003,148944,South West
Q3 2003,101266,Wales
Q3 2003,88820,Scotland
Q3 2003,92999,Northern Ireland
Q3 2003,129761,UK
Q3 2004,121378,North
Q3 2004,133494,Yorks & Humber
Q3 2004,139407,North West
Q3 2004,141625,East Midlands
Q3 2004,150770,West Midlands
Q3 2004,159466,East Anglia
Q3 2004,186295,Outer South East
Q3 2004,219065,Outer Met
Q3 2004,237818,London
Q3 2004,176181,South West
Q3 2004,135206,Wales
Q3 2004,110118,Scotland
Q3 2004,107509,Northern Ireland
Q3 2004,153482,UK
Q3 2005,124488,North
Q3 2005,139585,Yorks & Humber
Q3 2005,146045,North West
Q3 2005,144764,East Midlands
Q3 2005,152666,West Midlands
Q3 2005,161258,East Anglia
Q3 2005,185965,Outer South East
Q3 2005,220037,Outer Met
Q3 2005,241898,London
Q3 2005,176909,South West
Q3 2005,139212,Wales
Q3 2005,117915,Scotland
Q3 2005,119795,Northern Ireland
Q3 2005,157627,UK
Q3 2006,125495,North
Q3 2006,148585,Yorks & Humber
Q3 2006,151198,North West
Q3 2006,149783,East Midlands
Q3 2006,157896,West Midlands
Q3 2006,172002,East Anglia
Q3 2006,195555,Outer South East
Q3 2006,232894,Outer Met
Q3 2006,259646,London
Q3 2006,186824,South West
Q3 2006,145672,Wales
Q3 2006,135846,Scotland
Q3 2006,159859,Northern Ireland
Q3 2006,168460,UK
Q3 2007,134534,North
Q3 2007,156429,Yorks & Humber
Q3 2007,159052,North West
Q3 2007,156924,East Midlands
Q3 2007,165094,West Midlands
Q3 2007,183815,East Anglia
Q3 2007,215375,Outer South East
Q3 2007,258620,Outer Met
Q3 2007,302486,London
Q3 2007,204447,South West
Q3 2007,153655,Wales
Q3 2007,152479,Scotland
Q3 2007,227970,Northern Ireland
Q3 2007,184131,UK
Q3 2008,123019,North
Q3 2008,140634,Yorks & Humber
Q3 2008,144513,North West
Q3 2008,141572,East Midlands
Q3 2008,150046,West Midlands
Q3 2008,162872,East Anglia
Q3 2008,191898,Outer South East
Q3 2008,231998,Outer Met
Q3 2008,274124,London
Q3 2008,181074,South West
Q3 2008,139583,Wales
Q3 2008,141657,Scotland
Q3 2008,159970,Northern Ireland
Q3 2008,165188,UK
Q3 2009,116051,North
Q3 2009,134584,Yorks & Humber
Q3 2009,137890,North West
Q3 2009,133973,East Midlands
Q3 2009,142969,West Midlands
Q3 2009,159223,East Anglia
Q3 2009,188701,Outer South East
Q3 2009,227208,Outer Met
Q3 2009,268847,London
Q3 2009,178208,South West
Q3 2009,134690,Wales
Q3 2009,140175,Scotland
Q3 2009,147204,Northern Ireland
Q3 2009,160159,UK
Q3 2010,117234,North
Q3 2010,136906,Yorks & Humber
Q3 2010,140217,North West
Q3 2010,141804,East Midlands
Q3 2010,149778,West Midlands
Q3 2010,165706,East Anglia
Q3 2010,201999,Outer South East
Q3 2010,246538,Outer Met
Q3 2010,293582,London
Q3 2010,189603,South West
Q3 2010,138603,Wales
Q3 2010,139313,Scotland
Q3 2010,130877,Northern Ireland
Q3 2010,167354,UK
Q3 2011,116610,North
Q3 2011,137340,Yorks & Humber
Q3 2011,136824,North West
Q3 2011,140761,East Midlands
Q3 2011,147566,West Midlands
Q3 2011,167014,East Anglia
Q3 2011,198854,Outer South East
Q3 2011,249630,Outer Met
Q3 2011,295024,London
Q3 2011,188063,South West
Q3 2011,138849,Wales
Q3 2011,137846,Scotland
Q3 2011,118723,Northern Ireland
Q3 2011,166597,UK
Q3 2012,116624,North
Q3 2012,134633,Yorks & Humber
Q3 2012,134076,North West
Q3 2012,138977,East Midlands
Q3 2012,146346,West Midlands
Q3 2012,164528,East Anglia
Q3 2012,200276,Outer South East
Q3 2012,247386,Outer Met
Q3 2012,301168,London
Q3 2012,186366,South West
Q3 2012,132385,Wales
Q3 2012,132273,Scotland
Q3 2012,107719,Northern Ireland
Q3 2012,163910,UK
Q3 2013,116909,North
Q3 2013,137634,Yorks & Humber
Q3 2013,138375,North West
Q3 2013,145930,East Midlands
Q3 2013,151035,West Midlands
Q3 2013,175323,East Anglia
Q3 2013,207129,Outer South East
Q3 2013,261090,Outer Met
Q3 2013,331338,London
Q3 2013,191422,South West
Q3 2013,137169,Wales
Q3 2013,135192,Scotland
Q3 2013,108671,Northern Ireland
Q3 2013,170918,UK
Q3 2014,121990,North
Q3 2014,145265,Yorks & Humber
Q3 2014,146760,North West
Q3 2014,157293,East Midlands
Q3 2014,164067,West Midlands
Q3 2014,194680,East Anglia
Q3 2014,234370,Outer South East
Q3 2014,298558,Outer Met
Q3 2014,401072,London
Q3 2014,209121,South West
Q3 2014,144096,Wales
Q3 2014,142288,Scotland
Q3 2014,119782,Northern Ireland
Q3 2014,188810,UK
Q3 2015,124345,North
Q3 2015,145673,Yorks & Humber
Q3 2015,145816,North West
Q3 2015,160525,East Midlands
Q3 2015,167185,West Midlands
Q3 2015,199334,East Anglia
Q3 2015,247286,Outer South East
Q3 2015,326785,Outer Met
Q3 2015,443399,London
Q3 2015,219781,South West
Q3 2015,146854,Wales
Q3 2015,140402,Scotland
Q3 2015,127562,Northern Ireland
Q3 2015,195733,UK
Q4 1973,7713,North
Q4 1973,9517,Yorks & Humber
Q4 1973,8020,North West
Q4 1973,8637,East Midlands
Q4 1973,9388,West Midlands
Q4 1973,9998,East Anglia
Q4 1973,10910,Outer South East
Q4 1973,12863,Outer Met
Q4 1973,12848,London
Q4 1973,9605,South West
Q4 1973,8953,Wales
Q4 1973,8972,Scotland
Q4 1973,7952,Northern Ireland
Q4 1973,9767,UK
Q4 1974,7932,North
Q4 1974,10102,Yorks & Humber
Q4 1974,8330,North West
Q4 1974,8897,East Midlands
Q4 1974,9836,West Midlands
Q4 1974,10413,East Anglia
Q4 1974,11036,Outer South East
Q4 1974,13090,Outer Met
Q4 1974,13223,London
Q4 1974,10591,South West
Q4 1974,9771,Wales
Q4 1974,9707,Scotland
Q4 1974,9100,Northern Ireland
Q4 1974,10208,UK
Q4 1975,9305,North
Q4 1975,11472,Yorks & Humber
Q4 1975,9124,North West
Q4 1975,9729,East Midlands
Q4 1975,10840,West Midlands
Q4 1975,10940,East Anglia
Q4 1975,11822,Outer South East
Q4 1975,14532,Outer Met
Q4 1975,14351,London
Q4 1975,11324,South West
Q4 1975,10632,Wales
Q4 1975,11721,Scotland
Q4 1975,11530,Northern Ireland
Q4 1975,11288,UK
Q4 1976,10500,North
Q4 1976,12643,Yorks & Humber
Q4 1976,10005,North West
Q4 1976,10446,East Midlands
Q4 1976,11576,West Midlands
Q4 1976,11669,East Anglia
Q4 1976,12453,Outer South East
Q4 1976,15540,Outer Met
Q4 1976,15196,London
Q4 1976,11920,South West
Q4 1976,11643,Wales
Q4 1976,13493,Scotland
Q4 1976,13887,Northern Ireland
Q4 1976,12209,UK
Q4 1977,11435,North
Q4 1977,13889,Yorks & Humber
Q4 1977,11090,North West
Q4 1977,11122,East Midlands
Q4 1977,12451,West Midlands
Q4 1977,12530,East Anglia
Q4 1977,13443,Outer South East
Q4 1977,16380,Outer Met
Q4 1977,16281,London
Q4 1977,12760,South West
Q4 1977,12386,Wales
Q4 1977,14399,Scotland
Q4 1977,15749,Northern Ireland
Q4 1977,13150,UK
Q4 1978,13694,North
Q4 1978,16455,Yorks & Humber
Q4 1978,13986,North West
Q4 1978,13762,East Midlands
Q4 1978,16012,West Midlands
Q4 1978,15468,East Anglia
Q4 1978,17500,Outer South East
Q4 1978,22386,Outer Met
Q4 1978,21729,London
Q4 1978,16454,South West
Q4 1978,15538,Wales
Q4 1978,17199,Scotland
Q4 1978,19792,Northern Ireland
Q4 1978,16823,UK
Q4 1979,16899,North
Q4 1979,20964,Yorks & Humber
Q4 1979,17928,North West
Q4 1979,17587,East Midlands
Q4 1979,20328,West Midlands
Q4 1979,21535,East Anglia
Q4 1979,23867,Outer South East
Q4 1979,28679,Outer Met
Q4 1979,29661,London
Q4 1979,22170,South West
Q4 1979,20531,Wales
Q4 1979,21569,Scotland
Q4 1979,23349,Northern Ireland
Q4 1979,21966,UK
Q4 1980,18382,North
Q4 1980,23281,Yorks & Humber
Q4 1980,19933,North West
Q4 1980,19894,East Midlands
Q4 1980,21492,West Midlands
Q4 1980,23946,East Anglia
Q4 1980,25275,Outer South East
Q4 1980,30349,Outer Met
Q4 1980,30538,London
Q4 1980,23674,South West
Q4 1980,21640,Wales
Q4 1980,22646,Scotland
Q4 1980,23649,Northern Ireland
Q4 1980,23497,UK
Q4 1981,18680,North
Q4 1981,23655,Yorks & Humber
Q4 1981,19807,North West
Q4 1981,20830,East Midlands
Q4 1981,21551,West Midlands
Q4 1981,24412,East Anglia
Q4 1981,25857,Outer South East
Q4 1981,31208,Outer Met
Q4 1981,30559,London
Q4 1981,23782,South West
Q4 1981,21328,Wales
Q4 1981,24036,Scotland
Q4 1981,22636,Northern Ireland
Q4 1981,23798,UK
Q4 1982,21268,North
Q4 1982,25149,Yorks & Humber
Q4 1982,20989,North West
Q4 1982,21776,East Midlands
Q4 1982,22596,West Midlands
Q4 1982,25992,East Anglia
Q4 1982,27769,Outer South East
Q4 1982,34034,Outer Met
Q4 1982,33325,London
Q4 1982,25492,South West
Q4 1982,23469,Wales
Q4 1982,25506,Scotland
Q4 1982,22967,Northern Ireland
Q4 1982,25580,UK
Q4 1983,22895,North
Q4 1983,27611,Yorks & Humber
Q4 1983,22881,North West
Q4 1983,24295,East Midlands
Q4 1983,24848,West Midlands
Q4 1983,29418,East Anglia
Q4 1983,32537,Outer South East
Q4 1983,40438,Outer Met
Q4 1983,38889,London
Q4 1983,29780,South West
Q4 1983,25374,Wales
Q4 1983,28731,Scotland
Q4 1983,24449,Northern Ireland
Q4 1983,28623,UK
Q4 1984,25616,North
Q4 1984,31542,Yorks & Humber
Q4 1984,25869,North West
Q4 1984,27422,East Midlands
Q4 1984,27916,West Midlands
Q4 1984,34004,East Anglia
Q4 1984,37865,Outer South East
Q4 1984,46761,Outer Met
Q4 1984,46131,London
Q4 1984,33888,South West
Q4 1984,28239,Wales
Q4 1984,32108,Scotland
Q4 1984,26500,Northern Ireland
Q4 1984,32543,UK
Q4 1985,27450,North
Q4 1985,33710,Yorks & Humber
Q4 1985,27447,North West
Q4 1985,29489,East Midlands
Q4 1985,29674,West Midlands
Q4 1985,38215,East Anglia
Q4 1985,42349,Outer South East
Q4 1985,53712,Outer Met
Q4 1985,54428,London
Q4 1985,37058,South West
Q4 1985,30221,Wales
Q4 1985,33766,Scotland
Q4 1985,27883,Northern Ireland
Q4 1985,35436,UK
Q4 1986,28671,North
Q4 1986,35127,Yorks & Humber
Q4 1986,28954,North West
Q4 1986,33193,East Midlands
Q4 1986,31856,West Midlands
Q4 1986,43958,East Anglia
Q4 1986,49956,Outer South East
Q4 1986,64506,Outer Met
Q4 1986,68073,London
Q4 1986,42579,South West
Q4 1986,32137,Wales
Q4 1986,35059,Scotland
Q4 1986,28343,Northern Ireland
Q4 1986,39593,UK
Q4 1987,28388,North
Q4 1987,37537,Yorks & Humber
Q4 1987,30331,North West
Q4 1987,36364,East Midlands
Q4 1987,36810,West Midlands
Q4 1987,54875,East Anglia
Q4 1987,60525,Outer South East
Q4 1987,78463,Outer Met
Q4 1987,81452,London
Q4 1987,49630,South West
Q4 1987,32569,Wales
Q4 1987,35224,Scotland
Q4 1987,27538,Northern Ireland
Q4 1987,44355,UK
Q4 1988,33469,North
Q4 1988,51634,Yorks & Humber
Q4 1988,38154,North West
Q4 1988,54639,East Midlands
Q4 1988,54753,West Midlands
Q4 1988,76492,East Anglia
Q4 1988,81637,Outer South East
Q4 1988,96121,Outer Met
Q4 1988,94565,London
Q4 1988,71761,South West
Q4 1988,46400,Wales
Q4 1988,38388,Scotland
Q4 1988,28085,Northern Ireland
Q4 1988,57245,UK
Q4 1989,47014,North
Q4 1989,63464,Yorks & Humber
Q4 1989,50731,North West
Q4 1989,60538,East Midlands
Q4 1989,60109,West Midlands
Q4 1989,70431,East Anglia
Q4 1989,76155,Outer South East
Q4 1989,92333,Outer Met
Q4 1989,93541,London
Q4 1989,67781,South West
Q4 1989,53981,Wales
Q4 1989,48478,Scotland
Q4 1989,28803,Northern Ireland
Q4 1989,61495,UK
Q4 1990,47304,North
Q4 1990,50553,Yorks & Humber
Q4 1990,53755,North West
Q4 1990,52422,East Midlands
Q4 1990,57436,West Midlands
Q4 1990,59800,East Anglia
Q4 1990,63631,Outer South East
Q4 1990,77613,Outer Met
Q4 1990,77884,London
Q4 1990,60845,South West
Q4 1990,48287,Wales
Q4 1990,46581,Scotland
Q4 1990,29674,Northern Ireland
Q4 1990,54919,UK
Q4 1991,48353,North
Q4 1991,51785,Yorks & Humber
Q4 1991,55650,North West
Q4 1991,50785,East Midlands
Q4 1991,56404,West Midlands
Q4 1991,57148,East Anglia
Q4 1991,60940,Outer South East
Q4 1991,76604,Outer Met
Q4 1991,75322,London
Q4 1991,58403,South West
Q4 1991,49992,Wales
Q4 1991,49674,Scotland
Q4 1991,30808,Northern Ireland
Q4 1991,53635,UK
Q4 1992,43517,North
Q4 1992,49705,Yorks & Humber
Q4 1992,53075,North West
Q4 1992,46787,East Midlands
Q4 1992,52869,West Midlands
Q4 1992,51681,East Anglia
Q4 1992,53820,Outer South East
Q4 1992,69042,Outer Met
Q4 1992,66573,London
Q4 1992,52545,South West
Q4 1992,48824,Wales
Q4 1992,50519,Scotland
Q4 1992,33603,Northern Ireland
Q4 1992,50168,UK
Q4 1993,46383,North
Q4 1993,52255,Yorks & Humber
Q4 1993,52496,North West
Q4 1993,48098,East Midlands
Q4 1993,52847,West Midlands
Q4 1993,54540,East Anglia
Q4 1993,54995,Outer South East
Q4 1993,72065,Outer Met
Q4 1993,67780,London
Q4 1993,53880,South West
Q4 1993,47708,Wales
Q4 1993,51855,Scotland
Q4 1993,35837,Northern Ireland
Q4 1993,51050,UK
Q4 1994,41884,North
Q4 1994,47929,Yorks & Humber
Q4 1994,52109,North West
Q4 1994,48454,East Midlands
Q4 1994,52547,West Midlands
Q4 1994,53403,East Anglia
Q4 1994,57339,Outer South East
Q4 1994,72663,Outer Met
Q4 1994,70121,London
Q4 1994,55955,South West
Q4 1994,48206,Wales
Q4 1994,52048,Scotland
Q4 1994,38773,Northern Ireland
Q4 1994,52114,UK
Q4 1995,43119,North
Q4 1995,47560,Yorks & Humber
Q4 1995,48840,North West
Q4 1995,47370,East Midlands
Q4 1995,52899,West Midlands
Q4 1995,53781,East Anglia
Q4 1995,57956,Outer South East
Q4 1995,70068,Outer Met
Q4 1995,74161,London
Q4 1995,55405,South West
Q4 1995,47657,Wales
Q4 1995,51893,Scotland
Q4 1995,42082,Northern Ireland
Q4 1995,50930,UK
Q4 1996,45552,North
Q4 1996,50804,Yorks & Humber
Q4 1996,52218,North West
Q4 1996,50946,East Midlands
Q4 1996,57059,West Midlands
Q4 1996,56806,East Anglia
Q4 1996,64169,Outer South East
Q4 1996,77316,Outer Met
Q4 1996,80433,London
Q4 1996,59671,South West
Q4 1996,48111,Wales
Q4 1996,52969,Scotland
Q4 1996,47321,Northern Ireland
Q4 1996,55169,UK
Q4 1997,47519,North
Q4 1997,53040,Yorks & Humber
Q4 1997,55769,North West
Q4 1997,54305,East Midlands
Q4 1997,60901,West Midlands
Q4 1997,63011,East Anglia
Q4 1997,71133,Outer South East
Q4 1997,92682,Outer Met
Q4 1997,94055,London
Q4 1997,64797,South West
Q4 1997,51152,Wales
Q4 1997,57297,Scotland
Q4 1997,52447,Northern Ireland
Q4 1997,61830,UK
Q4 1998,48532,North
Q4 1998,52641,Yorks & Humber
Q4 1998,57271,North West
Q4 1998,56485,East Midlands
Q4 1998,64135,West Midlands
Q4 1998,66387,East Anglia
Q4 1998,77318,Outer South East
Q4 1998,103322,Outer Met
Q4 1998,107464,London
Q4 1998,70179,South West
Q4 1998,53218,Wales
Q4 1998,59115,Scotland
Q4 1998,57984,Northern Ireland
Q4 1998,66313,UK
Q4 1999,51127,North
Q4 1999,57863,Yorks & Humber
Q4 1999,62467,North West
Q4 1999,62103,East Midlands
Q4 1999,69748,West Midlands
Q4 1999,74430,East Anglia
Q4 1999,89603,Outer South East
Q4 1999,119235,Outer Met
Q4 1999,130598,London
Q4 1999,80952,South West
Q4 1999,57697,Wales
Q4 1999,61831,Scotland
Q4 1999,61946,Northern Ireland
Q4 1999,74638,UK
Q4 2000,53492,North
Q4 2000,61037,Yorks & Humber
Q4 2000,65050,North West
Q4 2000,68859,East Midlands
Q4 2000,76246,West Midlands
Q4 2000,82415,East Anglia
Q4 2000,101522,Outer South East
Q4 2000,135059,Outer Met
Q4 2000,147704,London
Q4 2000,88804,South West
Q4 2000,60916,Wales
Q4 2000,64666,Scotland
Q4 2000,71238,Northern Ireland
Q4 2000,81628,UK
Q4 2001,59510,North
Q4 2001,67591,Yorks & Humber
Q4 2001,74687,North West
Q4 2001,79186,East Midlands
Q4 2001,85976,West Midlands
Q4 2001,97371,East Anglia
Q4 2001,117566,Outer South East
Q4 2001,150813,Outer Met
Q4 2001,168783,London
Q4 2001,104355,South West
Q4 2001,68191,Wales
Q4 2001,67731,Scotland
Q4 2001,73697,Northern Ireland
Q4 2001,92533,UK
Q4 2002,75657,North
Q4 2002,91480,Yorks & Humber
Q4 2002,92067,North West
Q4 2002,101030,East Midlands
Q4 2002,111855,West Midlands
Q4 2002,125645,East Anglia
Q4 2002,150505,Outer South East
Q4 2002,189738,Outer Met
Q4 2002,204939,London
Q4 2002,136698,South West
Q4 2002,87049,Wales
Q4 2002,78618,Scotland
Q4 2002,85289,Northern Ireland
Q4 2002,115940,UK
Q4 2003,98448,North
Q4 2003,110961,Yorks & Humber
Q4 2003,112686,North West
Q4 2003,123422,East Midlands
Q4 2003,130743,West Midlands
Q4 2003,139109,East Anglia
Q4 2003,166295,Outer South East
Q4 2003,201203,Outer Met
Q4 2003,219678,London
Q4 2003,153966,South West
Q4 2003,109824,Wales
Q4 2003,91707,Scotland
Q4 2003,94028,Northern Ireland
Q4 2003,133903,UK
Q4 2004,120859,North
Q4 2004,133494,Yorks & Humber
Q4 2004,140407,North West
Q4 2004,141966,East Midlands
Q4 2004,147969,West Midlands
Q4 2004,158564,East Anglia
Q4 2004,183731,Outer South East
Q4 2004,217287,Outer Met
Q4 2004,236268,London
Q4 2004,174025,South West
Q4 2004,136653,Wales
Q4 2004,108326,Scotland
Q4 2004,110925,Northern Ireland
Q4 2004,152464,UK
Q4 2005,118357,North
Q4 2005,140549,Yorks & Humber
Q4 2005,144792,North West
Q4 2005,141983,East Midlands
Q4 2005,149200,West Midlands
Q4 2005,161596,East Anglia
Q4 2005,185890,Outer South East
Q4 2005,219311,Outer Met
Q4 2005,241897,London
Q4 2005,178072,South West
Q4 2005,136519,Wales
Q4 2005,118414,Scotland
Q4 2005,125585,Northern Ireland
Q4 2005,157387,UK
Q4 2006,128510,North
Q4 2006,150785,Yorks & Humber
Q4 2006,153741,North West
Q4 2006,150921,East Midlands
Q4 2006,157836,West Midlands
Q4 2006,173635,East Anglia
Q4 2006,200236,Outer South East
Q4 2006,238759,Outer Met
Q4 2006,269327,London
Q4 2006,190776,South West
Q4 2006,148632,Wales
Q4 2006,137317,Scotland
Q4 2006,181031,Northern Ireland
Q4 2006,172065,UK
Q4 2007,133202,North
Q4 2007,154695,Yorks & Humber
Q4 2007,159062,North West
Q4 2007,155141,East Midlands
Q4 2007,164855,West Midlands
Q4 2007,183598,East Anglia
Q4 2007,214634,Outer South East
Q4 2007,259160,Outer Met
Q4 2007,303739,London
Q4 2007,203049,South West
Q4 2007,154947,Wales
Q4 2007,151178,Scotland
Q4 2007,224816,Northern Ireland
Q4 2007,183959,UK
Q4 2008,118525,North
Q4 2008,133632,Yorks & Humber
Q4 2008,136090,North West
Q4 2008,133102,East Midlands
Q4 2008,141783,West Midlands
Q4 2008,153080,East Anglia
Q4 2008,181477,Outer South East
Q4 2008,218150,Outer Met
Q4 2008,257963,London
Q4 2008,172789,South West
Q4 2008,136174,Wales
Q4 2008,138941,Scotland
Q4 2008,147833,Northern Ireland
Q4 2008,156828,UK
Q4 2009,116154,North
Q4 2009,137275,Yorks & Humber
Q4 2009,139811,North West
Q4 2009,136492,East Midlands
Q4 2009,144748,West Midlands
Q4 2009,159989,East Anglia
Q4 2009,191397,Outer South East
Q4 2009,232198,Outer Met
Q4 2009,276088,London
Q4 2009,179425,South West
Q4 2009,135776,Wales
Q4 2009,140352,Scotland
Q4 2009,137949,Northern Ireland
Q4 2009,162116,UK
Q4 2010,116836,North
Q4 2010,132302,Yorks & Humber
Q4 2010,137133,North West
Q4 2010,138769,East Midlands
Q4 2010,145652,West Midlands
Q4 2010,165465,East Anglia
Q4 2010,195236,Outer South East
Q4 2010,238532,Outer Met
Q4 2010,282948,London
Q4 2010,183151,South West
Q4 2010,133252,Wales
Q4 2010,137393,Scotland
Q4 2010,124780,Northern Ireland
Q4 2010,162971,UK
Q4 2011,115716,North
Q4 2011,134467,Yorks & Humber
Q4 2011,135427,North West
Q4 2011,139669,East Midlands
Q4 2011,146109,West Midlands
Q4 2011,167900,East Anglia
Q4 2011,198363,Outer South East
Q4 2011,247058,Outer Met
Q4 2011,298216,London
Q4 2011,184316,South West
Q4 2011,135308,Wales
Q4 2011,136347,Scotland
Q4 2011,113614,Northern Ireland
Q4 2011,164785,UK
Q4 2012,114264,North
Q4 2012,131046,Yorks & Humber
Q4 2012,133253,North West
Q4 2012,138486,East Midlands
Q4 2012,144972,West Midlands
Q4 2012,164701,East Anglia
Q4 2012,198009,Outer South East
Q4 2012,246453,Outer Met
Q4 2012,300361,London
Q4 2012,184625,South West
Q4 2012,131630,Wales
Q4 2012,131795,Scotland
Q4 2012,104282,Northern Ireland
Q4 2012,162924,UK
Q4 2013,116417,North
Q4 2013,140684,Yorks & Humber
Q4 2013,139916,North West
Q4 2013,146964,East Midlands
Q4 2013,153965,West Midlands
Q4 2013,176939,East Anglia
Q4 2013,213007,Outer South East
Q4 2013,267682,Outer Met
Q4 2013,345186,London
Q4 2013,195196,South West
Q4 2013,139722,Wales
Q4 2013,136729,Scotland
Q4 2013,111612,Northern Ireland
Q4 2013,174444,UK
Q4 2014,121486,North
Q4 2014,142816,Yorks & Humber
Q4 2014,145212,North West
Q4 2014,155747,East Midlands
Q4 2014,164406,West Midlands
Q4 2014,194212,East Anglia
Q4 2014,235538,Outer South East
Q4 2014,301612,Outer Met
Q4 2014,406730,London
Q4 2014,210847,South West
Q4 2014,141631,Wales
Q4 2014,142527,Scotland
Q4 2014,120685,Northern Ireland
Q4 2014,189002,UK
Q4 2015,124167,North
Q4 2015,143390,Yorks & Humber
Q4 2015,146086,North West
Q4 2015,161398,East Midlands
Q4 2015,166988,West Midlands
Q4 2015,198512,East Anglia
Q4 2015,251296,Outer South East
Q4 2015,334532,Outer Met
Q4 2015,456229,London
Q4 2015,218905,South West
Q4 2015,142622,Wales
Q4 2015,139801,Scotland
Q4 2015,128481,Northern Ireland
Q4 2015,197044,UK